FLOC_ID,FLOC_NAME,PARENT_FLOC,FLOC_TYPE,REGION,ADDRESS,CITY,STATE,ZIP_CODE,STORE_FORMAT,OPENING_DATE,STATUS
FF-CORP,FastBite Corporate,,,CORPORATE,100 Corporate Dr,New York,NY,10001,HQ,2015-01-15,Active
FF-NE,Northeast Region,FF-CORP,REGION,NORTHEAST,,,,,REGION,2015-01-15,Active
FF-SE,Southeast Region,FF-CORP,REGION,SOUTHEAST,,,,,REGION,2015-01-15,Active
FF-MW,Midwest Region,FF-CORP,REGION,MIDWEST,,,,,REGION,2015-01-15,Active
FF-W,West Region,FF-CORP,REGION,WEST,,,,,REGION,2015-01-15,Active
FF-NE-001,Manhattan Downtown,FF-NE,STORE,NORTHEAST,450 Broadway,New York,NY,10013,Standard,2016-03-20,Active
FF-NE-002,Brooklyn Heights,FF-NE,STORE,NORTHEAST,185 Montague St,Brooklyn,NY,11201,Express,2016-07-12,Active
FF-NE-003,Boston Commons,FF-NE,STORE,NORTHEAST,125 Tremont St,Boston,MA,02108,Standard,2017-02-05,Active
FF-NE-004,Philadelphia Center,FF-NE,STORE,NORTHEAST,1234 Market St,Philadelphia,PA,19107,Premium,2017-06-15,Active
FF-SE-001,Miami Beach,FF-SE,STORE,SOUTHEAST,800 Ocean Dr,Miami Beach,FL,33139,Standard,2016-05-10,Active
FF-SE-002,Atlanta Midtown,FF-SE,STORE,SOUTHEAST,88 Peachtree St,Atlanta,GA,30303,Premium,2016-09-22,Active
FF-SE-003,Charlotte Plaza,FF-SE,STORE,SOUTHEAST,301 S Tryon St,Charlotte,NC,28202,Standard,2017-04-08,Active
FF-MW-001,Chicago Loop,FF-MW,STORE,MIDWEST,201 N State St,Chicago,IL,60601,Premium,2016-08-15,Active
FF-MW-002,Detroit Downtown,FF-MW,STORE,MIDWEST,1234 Woodward Ave,Detroit,MI,48226,Standard,2017-01-20,Active
FF-MW-003,Minneapolis Center,FF-MW,STORE,MIDWEST,700 Nicollet Mall,Minneapolis,MN,55402,Express,2017-05-30,Active
FF-W-001,Los Angeles Downtown,FF-W,STORE,WEST,350 S Grand Ave,Los Angeles,CA,90071,Premium,2016-04-12,Active
FF-W-002,San Francisco Market,FF-W,STORE,WEST,901 Market St,San Francisco,CA,94103,Standard,2016-11-05,Active
FF-W-003,Seattle Pike Place,FF-W,STORE,WEST,1428 Post Alley,Seattle,WA,98101,Express,2017-03-18,Active
FF-NE-001-KIT,Kitchen Area,FF-NE-001,AREA,NORTHEAST,,,,,FUNCTIONAL,2016-03-20,Active
FF-NE-001-FOH,Front of House,FF-NE-001,AREA,NORTHEAST,,,,,FUNCTIONAL,2016-03-20,Active
FF-NE-001-STOR,Storage Area,FF-NE-001,AREA,NORTHEAST,,,,,FUNCTIONAL,2016-03-20,Active
FF-NE-001-COOL,Walk-in Cooler,FF-NE-001,AREA,NORTHEAST,,,,,FUNCTIONAL,2016-03-20,Active
FF-SE-001-KIT,Kitchen Area,FF-SE-001,AREA,SOUTHEAST,,,,,FUNCTIONAL,2016-05-10,Active
FF-SE-001-FOH,Front of House,FF-SE-001,AREA,SOUTHEAST,,,,,FUNCTIONAL,2016-05-10,Active
FF-SE-001-STOR,Storage Area,FF-SE-001,AREA,SOUTHEAST,,,,,FUNCTIONAL,2016-05-10,Active
FF-MW-001-KIT,Kitchen Area,FF-MW-001,AREA,MIDWEST,,,,,FUNCTIONAL,2016-08-15,Active
FF-MW-001-FOH,Front of House,FF-MW-001,AREA,MIDWEST,,,,,FUNCTIONAL,2016-08-15,Active
FF-W-001-KIT,Kitchen Area,FF-W-001,AREA,WEST,,,,,FUNCTIONAL,2016-04-12,Active
FF-W-001-FOH,Front of House,FF-W-001,AREA,WEST,,,,,FUNCTIONAL,2016-04-12,Active
FF-W-001-STOR,Storage Area,FF-W-001,AREA,WEST,,,,,FUNCTIONAL,2016-04-12,Active